,Country,Rank_b,date_of_info_b,broadband_users,Rank_e,date_of_info_e,percent_education_of_gdp,Rank_g,date_of_info_g,gini_index,Rank_i,date_of_info_i,infant_deaths_per_1K_births,Rank_n,date_of_info_n,internet_users,Rank_m,date_of_info_m,maternal_deaths_per100Kbirths,Rank_u,date_of_info_u,percent_labor_force_unemployed
0,China,1.0,2020.0,483549500.0,133.0,2020.0,3.6,70.0,2019.0,38.2,162.0,2022.0,6.49,1.0,2020.0,987000000.0,111.0,2017.0,29.0,73.0,2021.0,4.82
1,United States,2.0,2020.0,121176000.0,40.0,2020.0,6.1,50.0,2016.0,41.1,173.0,2022.0,5.12,3.0,2020.0,301665983.0,129.0,2017.0,19.0,95.0,2021.0,5.46
2,Japan,3.0,2020.0,44000791.0,143.0,2020.0,3.4,126.0,2013.0,32.9,223.0,2022.0,1.88,7.0,2020.0,113252419.0,166.0,2017.0,5.0,30.0,2021.0,2.8
3,Brazil,4.0,2020.0,36344670.0,41.0,2019.0,6.0,14.0,2020.0,48.9,109.0,2022.0,13.11,4.0,2020.0,172173121.0,88.0,2017.0,60.0,190.0,2021.0,14.4
4,Germany,5.0,2020.0,36215303.0,87.0,2020.0,4.7,137.0,2018.0,31.7,208.0,2022.0,3.14,10.0,2020.0,74844784.0,154.0,2017.0,7.0,42.0,2021.0,3.54
5,Russia,6.0,2020.0,33893305.0,131.0,2020.0,3.7,92.0,2020.0,36.0,168.0,2022.0,6.33,6.0,2020.0,122488468.0,130.0,2017.0,17.0,77.0,2021.0,5.01
6,France,7.0,2020.0,30627000.0,58.0,2020.0,5.5,135.0,2018.0,32.4,210.0,2022.0,3.1,16.0,2020.0,57272921.0,151.0,2017.0,8.0,135.0,2021.0,8.06
7,United Kingdom,8.0,2020.0,27330297.0,60.0,2020.0,5.5,108.0,2016.0,34.8,192.0,2022.0,3.79,15.0,2020.0,63854528.0,158.0,2017.0,7.0,66.0,2021.0,4.53
8,India,9.0,2020.0,22950000.0,100.0,2020.0,4.5,94.0,2019.0,35.7,49.0,2022.0,30.36,2.0,2020.0,593400000.0,57.0,2017.0,145.0,100.0,2021.0,5.98
9,"Korea, South",10.0,2020.0,22327182.0,89.0,2019.0,4.7,139.0,2016.0,31.4,214.0,2022.0,2.83,20.0,2020.0,50281152.0,142.0,2017.0,11.0,41.0,2021.0,3.53
10,Mexico,11.0,2020.0,21936131.0,108.0,2018.0,4.3,26.0,2020.0,45.4,114.0,2022.0,12.0,8.0,2020.0,92831582.0,108.0,2017.0,33.0,62.0,2021.0,4.38
11,Italy,12.0,2020.0,18128787.0,107.0,2020.0,4.3,100.0,2018.0,35.2,209.0,2022.0,3.11,22.0,2020.0,41614669.0,182.0,2017.0,2.0,156.0,2021.0,9.83
12,Turkey (Turkiye),13.0,2020.0,16734853.0,145.0,2020.0,3.4,45.0,2018.0,41.9,84.0,2022.0,18.85,14.0,2020.0,65784472.0,133.0,2017.0,17.0,183.0,2021.0,13.39
13,Vietnam,14.0,2020.0,16699249.0,113.0,2020.0,4.1,96.0,2018.0,35.7,102.0,2022.0,14.42,13.0,2020.0,68137008.0,100.0,2017.0,43.0,20.0,2021.0,2.17
14,Spain,15.0,2020.0,16188502.0,95.0,2020.0,4.6,109.0,2017.0,34.7,217.0,2022.0,2.43,21.0,2020.0,44047980.0,174.0,2017.0,4.0,192.0,2021.0,14.73
15,Canada,16.0,2020.0,15825813.0,67.0,2020.0,5.2,122.0,2017.0,33.3,184.0,2022.0,4.31,27.0,2020.0,36896088.0,145.0,2017.0,10.0,125.0,2021.0,7.51
16,Indonesia,17.0,2020.0,11722218.0,141.0,2020.0,3.5,74.0,2021.0,37.9,81.0,2022.0,19.31,5.0,2020.0,147702755.0,52.0,2017.0,177.0,63.0,2021.0,4.41
17,Thailand,18.0,2020.0,11478265.0,152.0,2020.0,3.2,87.0,2018.0,36.4,167.0,2022.0,6.36,19.0,2020.0,54443983.0,103.0,2017.0,37.0,10.0,2021.0,1.42
18,Bangladesh,19.0,2020.0,10052819.0,184.0,2021.0,2.1,134.0,2016.0,32.4,52.0,2022.0,29.58,24.0,2020.0,41172346.0,53.0,2017.0,173.0,85.0,2021.0,5.23
19,Argentina,20.0,2020.0,9571562.0,73.0,2020.0,5.0,41.0,2020.0,42.3,141.0,2022.0,9.14,26.0,2021.0,39853610.0,101.0,2017.0,39.0,164.0,2021.0,10.9
20,Iran,21.0,2020.0,9564195.0,137.0,2020.0,3.6,51.0,2019.0,40.9,100.0,2022.0,14.58,9.0,2020.0,75594081.0,135.0,2017.0,16.0,168.0,2021.0,11.46
21,Egypt,22.0,2020.0,9349469.0,175.0,2020.0,2.5,138.0,2017.0,31.5,92.0,2022.0,17.27,12.0,2020.0,73680770.0,102.0,2017.0,37.0,153.0,2021.0,9.33
22,Australia,23.0,2020.0,9099619.0,38.0,2020.0,6.1,112.0,2018.0,34.3,213.0,2022.0,2.96,36.0,2020.0,23123940.0,159.0,2017.0,6.0,82.0,2021.0,5.11
